symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
AKR,2016,3922892465.5610666,29.41173333333333,-0.13025697227410374,-0.0005748931420734943,0.02881056549734388,0.0271230734394274,0.04311410559550225,-0.003737258082784264,0.03714645007432996,-0.26248180776772645,0.052950318142712775
AKR,2015,3143515474.3589587,26.595041666666663,0.1059104062317381,0.005417306028818208,0.07210303688634,0.03476159879176492,0.060098002233796965,0.035165696642451554,0.04621451576924604,-1.0,0.06739193404316646
AERI,2018,2260318303.28,54.16,-0.4257600935499754,-0.2039764036429464,-1.0,-1.0,-0.1028908183694828,-0.09441986612365012,0.0,1.0,-1.0
AERI,2017,1828258151.8375,52.8875,0.024060505790593118,-0.1249715787733054,-1.0,-0.29637679404594697,-0.08032946542718522,-0.07425790132424558,0.0,1.0,-0.5818061530904106
AERI,2016,669378896.5825003,23.29750000000001,1.2700933576564004,-0.09975569376525656,-1.0,-0.20001699414106755,-0.1476981131385502,-0.12707987040736582,0.0,1.0,-0.3920888987594784
AERI,2015,542589028.6958333,21.010833333333334,0.10883274501249382,-0.1168296392189886,-1.0,-0.15054112378510814,-0.1367959838377211,-0.133766845941284,0.0,1.0,-0.29517454207064403
ALGN,2018,22496459971.666664,291.2058333333333,-0.12525790749384036,0.04875069307142948,0.05931425096059379,1.0,0.02317213466725626,0.01722788045516898,0.0,0.900799482135555,1.0
ALGN,2017,12561029300.000002,165.94916666666668,0.7547893682302309,0.032541724414125776,0.05999862224644414,1.0,0.031155886245723505,0.017422680802774985,0.0,1.0,1.0
ALGN,2016,5905165957.5,82.2775,1.0169446892123202,0.0339651656590154,0.057627325039773164,1.0,0.04621766804934034,0.02897933872432089,0.0,1.0,1.0
ALGN,2015,4246116875.0,60.04291666666666,0.3703115132925756,0.03107541387134666,0.055776795831036834,1.0,0.043828515671745366,0.03017129126323297,0.0,1.0,1.0
ADTN,2018,579576799.9999999,13.827641666666665,-0.12780077586139335,-0.007699509734454091,-0.021454739200834343,-0.16682088435642006,-0.02924030085400244,-0.029141508222961618,0.026015221925647727,1.0,-1.0
ADTN,2017,868707621.875,19.504375,-0.2910492304077077,0.008907567546562965,0.014047737814275185,0.3841156191991513,0.046687745080974966,0.025209649806379426,0.01836582205692944,1.0,0.7753096803792628
